,,,,,,,,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
270,Rayan Rupert,21,POR,SG,48,0,577,.361,.408,.310,.435,.643,.447,.095,.483,77,74,87,80,82,77,36,116,-31.7,-40.5,,ruperra01
270,Rayan Rupert,21,MEM,SG,10,3,289,.437,.479,.385,.523,.800,.558,.230,.448,93,87,107,96,102,96,87,108,-3.5,-4.0,,ruperra01
271,Caleb Martin,30,DAL,SF,58,12,856,.450,.492,.351,.503,.607,.526,.323,.302,96,90,98,93,77,91,122,73,-15.4,-23.2,,martica02
272,De'Anthony Melton,27,GSW,PG,37,13,843,.425,.528,.298,.492,.828,.534,.236,.449,91,96,83,90,106,92,89,108,-43.3,-42.1,,meltode01
273,Cam Thomas,24,2TM,SG,40,8,842,.409,.466,.311,.466,.819,.530,.360,.369,87,85,87,86,105,91,136,89,-68.6,-51.3,,thomaca02
273,Cam Thomas,24,BRK,SG,24,8,582,.399,.445,.325,.461,.843,.527,.351,.380,85,81,91,85,108,91,132,91,-50.7,-37.0,,thomaca02
273,Cam Thomas,24,MIL,SG,16,0,260,.431,.511,.277,.478,.769,.535,.380,.343,92,93,77,88,98,92,143,83,-17.9,-14.3,,thomaca02
274,Ochai Agbaji,25,2TM,SG,54,13,841,.450,.588,.265,.507,.818,.532,.144,.428,96,107,74,93,104,92,54,103,-16.8,-23.2,,agbajoc01
274,Ochai Agbaji,25,TOR,SG,42,13,650,.424,.571,.185,.459,.862,.495,.171,.382,90,104,52,84,110,85,64,92,-28.7,-30.8,,agbajoc01
274,Ochai Agbaji,25,BRK,SG,12,0,191,.525,.654,.424,.644,.500,.642,.068,.559,112,119,118,119,64,111,26,135,11.9,7.6,,agbajoc01
275,T.J. McConnell,33,IND,PG,49,2,840,.525,.552,.302,.541,.880,.553,.062,.107,112,101,84,100,112,95,23,26,-1.8,-21.7,,mccontj01
276,Alex Caruso,31,OKC,SG,45,0,838,.426,.604,.303,.516,.795,.543,.171,.589,91,110,85,95,102,94,64,142,-14.3,-20.5,,carusal01
277,Nae'Qwan Tomlin,25,CLE,PF,53,2,837,.468,.620,.204,.506,.741,.533,.201,.364,100,113,57,93,95,92,76,88,-20.3,-27.3,,tomlina01
278,Mike Conley,38,MIN,PG,46,9,831,.316,.326,.313,.435,.891,.494,.260,.757,67,59,88,80,114,85,98,182,-38.3,-33.6,,conlemi01
279,Jordan Poole,26,NOP,PG,34,6,826,.371,.442,.332,.478,.871,.530,.258,.647,79,81,93,88,111,92,97,156,-50.8,-42.7,,poolejo01
280,Jakob Poeltl,30,TOR,C,32,30,824,.697,.697,,.697,.642,.701,.333,.000,149,127,,128,82,121,126,0,61.6,55.9,,poeltja01
281,Paul George,35,PHI,PF,27,27,824,.424,.464,.382,.517,.855,.556,.215,.489,90,85,107,95,109,96,81,118,-18.6,-18.0,,georgpa01
282,Vince Williams Jr.,25,2TM,SG,40,12,820,.353,.417,.311,.447,.780,.478,.171,.606,75,76,87,82,100,82,65,146,-56.2,-63.9,,willivi01
282,Vince Williams Jr.,25,MEM,PG,34,12,736,.352,.419,.308,.445,.804,.478,.174,.602,75,77,86,82,103,83,66,145,-51.8,-57.4,,willivi01
282,Vince Williams Jr.,25,UTA,SG,6,0,84,.357,.400,.333,.464,.500,.470,.143,.643,76,73,93,85,64,81,54,155,-4.4,-6.5,,willivi01
283,Isaiah Jackson,24,2TM,C,49,14,800,.607,.610,.000,.607,.663,.632,.476,.005,129,111,0,112,85,109,180,1,26.2,26.2,,jacksis01
283,Isaiah Jackson,24,IND,C,38,14,638,.582,.585,.000,.582,.689,.615,.448,.006,124,107,0,107,88,106,169,1,12.7,14.0,,jacksis01
283,Isaiah Jackson,24,LAC,C,11,0,162,.707,.707,,.707,.583,.698,.585,.000,151,129,,130,74,120,221,0,13.5,12.2,,jacksis01
284,Robert Williams,28,POR,C,47,1,795,.727,.770,.350,.745,.643,.744,.212,.101,155,141,98,137,82,128,80,24,79.9,71.1,,williro04
285,Keegan Murray,25,SAC,PF,23,22,793,.420,.505,.277,.472,.776,.499,.163,.373,90,92,77,87,99,86,62,90,-43.0,-51.7,,murrake02
286,Nikola Jović,22,MIA,PF,45,1,791,.370,.483,.272,.443,.683,.485,.331,.531,79,88,76,81,87,84,125,128,-61.4,-66.0,,jovicni01
287,Karlo Matković,24,NOP,PF,55,2,780,.631,.721,.479,.721,.771,.732,.179,.374,135,132,134,133,98,126,68,90,69.1,64.1,,matkoka01
288,Clint Capela,31,HOU,C,61,2,774,.513,.513,,.513,.619,.537,.330,.000,109,94,,94,79,93,124,0,-11.5,-18.5,,capelca01
289,Buddy Hield,33,2TM,SG,45,3,773,.432,.600,.342,.543,.794,.560,.113,.651,92,110,95,100,101,97,43,157,-0.1,-12.2,,hieldbu01
289,Buddy Hield,33,GSW,SG,44,3,768,.433,.600,.344,.545,.794,.562,.113,.650,92,110,96,100,101,97,43,157,1.0,-11.0,,hieldbu01
289,Buddy Hield,33,ATL,SG,1,0,5,.000,,.000,.000,,.000,.000,1.000,0,,0,0,,0,0,241,-1.1,-1.2,,hieldbu01
290,Tyrese Martin,26,2TM,SG,44,6,771,.391,.495,.321,.487,.679,.499,.101,.598,83,90,90,90,87,86,38,144,-30.9,-46.2,,martity01
290,Tyrese Martin,26,BRK,SG,37,6,696,.392,.476,.336,.492,.731,.507,.102,.596,84,87,94,91,93,87,38,144,-26.1,-38.8,,martity01
290,Tyrese Martin,26,PHI,SG,7,0,75,.381,.750,.154,.429,.000,.411,.095,.619,81,137,43,79,0,71,36,149,-4.8,-7.4,,martity01
291,Justin Edwards,22,PHI,SF,51,8,769,.449,.570,.358,.551,.833,.572,.128,.573,96,104,100,101,106,99,48,138,3.7,-3.5,,edwarju01
292,Guerschon Yabusele,30,2TM,C,57,12,765,.406,.471,.367,.521,.714,.546,.209,.628,87,86,103,96,91,94,79,151,-10.3,-17.2,,yabusgu01
292,Guerschon Yabusele,30,NYK,C,41,0,366,.393,.564,.294,.486,.667,.499,.112,.636,84,103,82,89,85,86,42,153,-12.3,-18.1,,yabusgu01
292,Guerschon Yabusele,30,CHI,C,16,12,399,.417,.396,.430,.551,.730,.583,.291,.622,89,72,120,101,93,101,110,150,2.0,0.9,,yabusgu01
293,Trendon Watford,25,PHI,PF,45,7,756,.513,.578,.233,.535,.719,.563,.250,.189,109,106,65,98,92,97,94,45,-3.7,-8.3,,watfotr01
294,Jalen Williams,24,OKC,SG,26,26,755,.479,.515,.313,.507,.833,.555,.279,.175,102,94,87,93,106,96,105,42,-26.6,-20.1,,willija06
295,Olivier-Maxence Prosper,23,MEM,PF,43,14,749,.532,.630,.394,.614,.773,.645,.300,.416,113,115,110,113,99,111,113,100,35.4,37.0,,prospol01
296,Aaron Gordon,30,DEN,PF,27,24,749,.495,.561,.395,.573,.781,.621,.409,.396,106,102,110,106,100,107,154,95,18.9,31.0,,gordoaa01
297,Jonas Valančiūnas,33,DEN,C,56,5,748,.581,.597,.316,.590,.793,.631,.345,.059,124,109,88,109,101,109,130,14,30.1,38.2,,valanjo01
298,John Konchar,29,2TM,SG,43,5,747,.444,.714,.250,.517,.600,.529,.171,.581,95,130,70,95,77,91,65,140,-6.1,-12.8,,konchjo01
298,John Konchar,29,MEM,SG,30,1,435,.521,.750,.333,.613,.615,.619,.183,.549,111,137,93,113,79,107,69,132,9.9,6.1,,konchjo01
298,John Konchar,29,UTA,SG,13,4,312,.326,.647,.138,.370,.571,.387,.152,.630,70,118,39,68,73,67,57,152,-16.0,-18.9,,konchjo01
299,Jaylen Clark,24,MIN,SG,59,0,739,.435,.528,.308,.500,.633,.528,.326,.424,93,96,86,92,81,91,123,102,-15.9,-21.9,,clarkja02
300,Goga Bitadze,26,ORL,C,49,2,736,.688,.723,.182,.694,.687,.707,.394,.065,147,132,51,128,88,122,149,16,51.3,50.8,,bitadgo01
301,Kasparas Jakučionis,19,MIA,PG,41,11,733,.422,.406,.431,.564,.881,.603,.225,.658,90,74,120,104,112,104,85,158,7.8,9.8,,jakucka01
302,Josh Green,25,CHO,SG,44,0,732,.477,.605,.434,.639,.885,.665,.172,.748,102,111,121,118,113,115,65,180,28.9,27.7,,greenjo02
303,Steven Adams,32,HOU,C,32,11,730,.504,.504,,.504,.580,.535,.583,.000,107,92,,93,74,92,220,0,-11.0,-15.4,,adamsst01
304,Jalen Pickett,26,DEN,SG,43,18,728,.422,.473,.381,.527,.923,.541,.064,.554,90,86,106,97,118,93,24,133,-6.7,-16.1,,pickeja02
305,Lonzo Ball,28,CLE,PG,35,3,728,.301,.448,.272,.415,.667,.432,.119,.835,64,82,76,76,85,75,45,201,-45.2,-54.7,,balllo01
306,Dwight Powell,34,DAL,C,52,8,711,.663,.675,.333,.669,.678,.702,1.088,.038,141,123,93,123,87,121,410,9,20.1,28.9,,poweldw01
307,Kenrich Williams,31,OKC,PF,45,2,710,.489,.556,.410,.582,.674,.596,.186,.455,104,101,114,107,86,103,70,109,18.0,8.3,,willike04
308,Micah Peavy,24,NOP,SG,52,1,706,.376,.471,.233,.423,.684,.435,.084,.398,80,86,65,78,87,75,32,96,-54.6,-67.6,,peavymi01
309,Jabari Walker,23,PHI,PF,56,6,701,.449,.542,.337,.526,.754,.565,.311,.454,96,99,94,97,96,98,117,109,-7.0,-6.3,,walkeja01
310,Gabe Vincent,29,2TM,PG,40,7,699,.351,.364,.348,.491,.917,.508,.070,.807,75,66,97,90,117,88,26,194,-17.8,-25.3,,vincega01
310,Gabe Vincent,29,LAL,PG,29,7,559,.346,.259,.369,.492,.909,.512,.085,.792,74,47,103,91,116,88,32,191,-13.3,-18.3,,vincega01
310,Gabe Vincent,29,ATL,PG,11,0,140,.366,.833,.286,.488,1.000,.495,.024,.854,78,152,80,90,128,85,9,206,-4.5,-7.0,,vincega01
311,Julian Strawther,23,DEN,SG,44,12,672,.464,.573,.348,.548,.800,.584,.251,.481,99,105,97,101,102,101,95,116,2.3,2.4,,strawju01
312,Jaden Ivey,23,2TM,SG,37,5,670,.445,.525,.373,.543,.809,.571,.184,.523,95,96,104,100,103,99,69,126,-0.1,-4.7,,iveyja01
312,Jaden Ivey,23,DET,SG,33,2,555,.450,.533,.372,.545,.789,.570,.173,.514,96,97,104,100,101,98,65,124,1.0,-4.4,,iveyja01
312,Jaden Ivey,23,CHI,SG,4,3,115,.417,.467,.381,.528,.889,.576,.250,.583,89,85,106,97,113,99,94,140,-1.1,-0.3,,iveyja01
313,Noah Penda,21,ORL,SF,48,2,666,.425,.485,.346,.500,.688,.529,.265,.431,91,89,97,92,88,91,100,104,-15.7,-20.3,,pendano01
314,Tyler Kolek,24,NYK,PG,55,1,662,.424,.480,.356,.504,.667,.513,.079,.454,90,88,99,93,85,88,30,109,-17.8,-31.6,,kolekty01
315,Kobe Brown,26,2TM,PF,49,3,656,.429,.527,.330,.511,.796,.553,.269,.500,91,96,92,94,102,95,102,120,-11.8,-10.9,,brownko01
315,Kobe Brown,26,LAC,PF,34,0,295,.393,.571,.265,.470,.808,.524,.310,.583,84,104,74,87,103,90,117,140,-12.3,-10.6,,brownko01
315,Kobe Brown,26,IND,PF,15,3,361,.459,.500,.405,.546,.783,.578,.235,.429,98,91,113,100,100,100,89,103,0.5,-0.3,,brownko01
316,Jamir Watkins,24,WAS,SG,35,4,654,.461,.655,.287,.537,.619,.552,.236,.528,98,120,80,99,79,95,89,127,-2.4,-10.7,,watkija01
317,Rob Dillingham,21,2TM,PG,51,0,653,.356,.373,.312,.400,.750,.425,.133,.285,76,68,87,74,96,73,50,69,-77.4,-88.3,,dilliro01
317,Rob Dillingham,21,MIN,PG,35,0,326,.333,.324,.364,.376,.750,.404,.142,.234,71,59,102,69,96,70,54,56,-47.2,-52.6,,dilliro01
317,Rob Dillingham,21,CHI,PG,16,0,327,.380,.435,.273,.426,.750,.448,.124,.341,81,79,76,78,96,77,47,82,-30.2,-35.7,,dilliro01
318,Micah Potter,27,IND,C,35,3,652,.498,.631,.405,.617,.886,.668,.341,.590,106,115,113,114,113,115,129,142,30.3,41.7,,pottemi01
319,Jaden Hardy,23,2TM,SG,46,4,652,.416,.476,.374,.526,.778,.556,.205,.591,89,87,104,97,99,96,77,142,-10.7,-16.1,,hardyja02
319,Jaden Hardy,23,DAL,SG,34,4,428,.402,.457,.371,.521,.775,.551,.206,.639,86,83,104,96,99,95,78,154,-8.8,-12.2,,hardyja02
319,Jaden Hardy,23,WAS,SG,12,0,224,.439,.500,.379,.535,.783,.564,.202,.509,94,91,106,98,100,97,76,123,-1.9,-3.9,,hardyja02
320,Josh Minott,23,2TM,PF,41,10,648,.492,.603,.415,.615,.786,.641,.235,.592,105,110,116,113,100,111,89,143,25.5,24.1,,minotjo01
320,Josh Minott,23,BOS,PF,33,10,526,.507,.593,.442,.632,.769,.651,.191,.566,108,108,123,116,98,112,72,136,24.2,21.1,,minotjo01
320,Josh Minott,23,BRK,SF,8,0,122,.442,.643,.345,.558,.813,.610,.372,.674,94,117,96,103,104,105,140,162,1.3,3.0,,minotjo01
321,Paul Reed,26,DET,C,50,8,646,.597,.631,.367,.620,.643,.633,.300,.129,127,115,102,114,82,109,113,31,35.8,28.3,,reedpa01
322,Dylan Cardwell,24,SAC,C,31,1,644,.596,.602,.000,.596,.524,.596,.368,.009,127,110,0,110,67,103,139,2,12.1,4.5,,cardwdy01
323,Johnny Furphy,21,IND,SG,35,21,643,.470,.603,.324,.547,.486,.547,.235,.477,100,110,90,101,62,94,89,115,1.1,-10.5,,furphjo01
324,Tyler Herro,26,MIA,SG,21,16,643,.491,.557,.393,.570,.917,.610,.213,.399,105,102,110,105,117,105,80,96,17.7,22.5,,herroty01
325,Ousmane Dieng,22,2TM,C,42,7,630,.418,.467,.378,.522,.813,.536,.080,.552,89,85,106,96,104,92,30,133,-8.4,-18.1,,diengou01
325,Ousmane Dieng,22,OKC,C,27,0,295,.418,.476,.367,.516,1.000,.534,.066,.538,89,87,103,95,128,92,25,130,-4.9,-8.5,,diengou01
325,Ousmane Dieng,22,MIL,C,15,7,335,.418,.458,.387,.527,.700,.538,.091,.564,89,84,108,97,89,93,34,136,-3.5,-9.6,,diengou01
326,Anthony Davis,32,DAL,PF,20,20,626,.506,.535,.270,.521,.728,.551,.243,.111,108,98,75,96,93,95,92,27,-14.9,-21.4,,davisan02
327,Tre Mann,24,CHO,PG,43,1,624,.358,.396,.324,.443,.840,.462,.090,.520,76,72,91,81,107,80,34,125,-56.1,-68.1,,manntr01
328,Quenton Jackson,27,IND,PG,36,10,624,.459,.519,.371,.534,.816,.592,.392,.401,98,95,104,98,104,102,148,97,-4.2,6.3,,jacksqu01
329,Nick Richards,28,2TM,C,44,3,619,.514,.537,.231,.523,.659,.565,.520,.074,110,98,64,96,84,97,196,18,-7.1,-6.3,,richani01
329,Nick Richards,28,PHO,C,28,2,254,.493,.493,,.493,.679,.534,.394,.000,105,90,,91,87,92,149,0,-7.1,-7.6,,richani01
329,Nick Richards,28,CHI,C,16,1,365,.529,.571,.231,.543,.651,.585,.606,.125,113,104,64,100,83,101,229,30,0.0,1.3,,richani01
330,Jalen Wilson,25,BRK,PF,44,0,618,.382,.391,.377,.503,.745,.539,.267,.639,82,71,105,93,95,93,101,154,-15.5,-17.4,,wilsoja03
331,Gary Harris,31,MIL,SG,44,2,609,.443,.517,.407,.580,.889,.598,.102,.670,95,94,114,107,113,103,39,161,6.4,3.4,,harriga01
332,Javon Small,23,MEM,PG,32,5,607,.445,.464,.424,.545,.838,.596,.325,.474,95,85,118,100,107,103,123,114,0.9,8.1,,smallja01
333,Kevin Love,37,UTA,PF,36,5,598,.404,.464,.380,.539,.833,.575,.218,.710,86,85,106,99,106,99,82,171,-1.7,-2.1,,loveke01
334,Jonathan Kuminga,23,2TM,PF,25,14,594,.470,.511,.355,.517,.732,.565,.411,.263,100,93,99,95,93,98,155,63,-12.4,-8.0,,kuminjo01
334,Jonathan Kuminga,23,GSW,PF,20,13,476,.454,.504,.321,.497,.742,.543,.340,.273,97,92,90,92,95,94,128,66,-17.8,-16.5,,kuminjo01
334,Jonathan Kuminga,23,ATL,PF,5,1,118,.548,.545,.556,.607,.710,.656,.738,.214,117,100,155,112,91,113,279,52,5.4,8.5,,kuminjo01
335,Carter Bryant,20,SAS,PF,57,0,590,.385,.464,.331,.483,.706,.505,.166,.590,82,85,92,89,90,87,63,142,-24.7,-32.9,,bryanca01
336,Ben Saraf,19,BRK,SG,32,6,587,.380,.464,.220,.418,.796,.478,.316,.345,81,85,62,77,102,82,119,83,-42.8,-39.7,,sarafbe01
337,Kyle Anderson,32,3TM,SF,30,3,578,.558,.553,.667,.572,.685,.603,.391,.043,119,101,186,105,87,104,148,10,8.1,7.5,,anderky01
337,Kyle Anderson,32,UTA,SF,20,0,401,.523,.519,.600,.537,.658,.565,.349,.046,112,95,168,99,84,97,132,11,-1.4,-3.7,,anderky01
337,Kyle Anderson,32,MEM,SF,4,3,89,.789,.778,1.000,.816,.750,.821,.421,.053,168,142,279,150,96,142,159,13,10.4,10.9,,anderky01
337,Kyle Anderson,32,MIN,SF,6,0,88,.500,.500,,.500,.750,.592,.800,.000,107,91,,92,96,102,302,0,-0.9,0.3,,anderky01
338,Tidjane Salaün,20,CHO,PF,36,0,571,.506,.587,.434,.620,.650,.632,.253,.525,108,107,121,114,83,109,96,127,24.3,18.5,,salauti01
339,Jevon Carter,30,2TM,PG,38,0,571,.393,.444,.375,.532,.824,.546,.083,.738,84,81,105,98,105,94,31,178,-4.8,-14.4,,carteje01
339,Jevon Carter,30,CHI,PG,23,0,254,.398,.360,.410,.553,1.000,.577,.097,.757,85,66,115,102,128,100,37,182,2.1,-0.5,,carteje01
339,Jevon Carter,30,ORL,PG,15,0,317,.388,.517,.338,.510,.571,.514,.068,.718,83,94,94,94,73,89,26,173,-6.9,-13.9,,carteje01
340,Ja Morant,26,MEM,PG,20,20,569,.410,.473,.235,.441,.897,.521,.363,.264,87,86,66,81,115,90,137,64,-65.9,-43.9,,moranja01
341,Zeke Nnaji,25,DEN,PF,46,3,566,.474,.584,.271,.522,.773,.566,.321,.350,101,107,76,96,99,98,121,84,-5.9,-4.2,,nnajize01
342,Thomas Bryant,28,CLE,C,50,0,564,.488,.640,.349,.579,.847,.621,.282,.522,104,117,97,107,108,107,107,126,14.9,19.7,,bryanth01
343,Domantas Sabonis,29,SAC,C,19,15,564,.543,.593,.185,.554,.727,.590,.348,.122,116,108,52,102,93,102,131,29,4.9,5.6,,sabondo01
344,Jett Howard,22,ORL,SF,45,0,563,.406,.477,.355,.510,.944,.550,.174,.585,87,87,99,94,121,95,66,141,-13.9,-13.3,,howarje01
345,Aaron Holiday,29,HOU,PG,43,1,558,.396,.458,.360,.510,.865,.546,.188,.635,84,84,101,94,110,94,71,153,-13.0,-14.2,,holidaa01
346,Dorian Finney-Smith,32,HOU,PF,31,1,553,.325,.481,.276,.430,1.000,.443,.044,.763,69,88,77,79,128,76,17,184,-25.9,-31.7,,finnedo01
347,Drew Eubanks,28,SAC,C,42,11,552,.596,.617,.143,.599,.561,.605,.365,.045,127,113,40,110,72,104,138,11,17.5,9.1,,eubandr01
348,Tristan Vukcevic,22,WAS,C,42,8,552,.475,.586,.330,.547,.795,.593,.342,.436,101,107,92,101,102,102,129,105,1.8,8.3,,vukcetr01
349,Anthony Gill,33,WAS,PF,40,1,528,.574,.667,.286,.609,.739,.627,.200,.243,122,122,80,112,94,108,75,59,15.0,12.0,,gillan01
350,Cole Anthony,25,MIL,PG,35,0,527,.424,.478,.306,.472,.615,.483,.113,.312,90,87,85,87,79,83,42,75,-33.0,-47.0,,anthoco01
351,Jonathan Isaac,28,ORL,PF,52,0,521,.422,.549,.184,.454,.603,.498,.532,.349,90,100,51,84,77,86,201,84,-19.4,-21.9,,isaacjo01
352,Kristaps Porziņģis,30,2TM,C,22,13,521,.458,.534,.345,.528,.845,.593,.406,.406,98,98,96,97,108,102,153,98,-8.5,8.8,,porzikr01
352,Kristaps Porziņģis,30,ATL,C,17,12,413,.457,.524,.360,.531,.840,.592,.386,.410,97,96,101,98,107,102,146,99,-5.2,6.3,,porzikr01
352,Kristaps Porziņģis,30,GSW,C,5,1,108,.459,.568,.292,.516,.862,.597,.475,.393,98,104,81,95,110,103,179,95,-3.3,2.5,,porzikr01
353,Jordan Hawkins,23,NOP,SG,43,0,517,.320,.346,.301,.406,.800,.429,.110,.569,68,63,84,75,102,74,42,137,-49.7,-57.0,,hawkijo01
354,Jamaree Bouyea,26,PHO,PG,34,0,516,.475,.563,.306,.528,.710,.547,.171,.343,101,103,86,97,91,94,65,82,-5.7,-12.6,,bouyeja01
355,Jase Richardson,20,ORL,SG,45,0,512,.461,.543,.356,.539,.737,.566,.228,.437,98,99,99,99,94,98,86,105,-1.5,-4.9,,richaja02
356,Dalton Knecht,24,LAL,SF,48,1,509,.448,.644,.307,.537,.700,.550,.115,.580,96,118,86,99,89,95,43,140,-2.1,-10.9,,knechda01
357,Jalen Green,23,PHO,SG,20,15,501,.407,.506,.301,.480,.774,.507,.164,.481,87,92,84,88,99,87,62,116,-41.0,-50.5,,greenja05
358,Mohamed Diawara,20,NYK,SF,58,6,499,.429,.485,.393,.549,.750,.557,.069,.611,91,89,110,101,96,96,26,147,1.9,-7.9,,diawamo01
359,D'Angelo Russell,29,DAL,PG,26,3,495,.405,.508,.295,.476,.717,.511,.259,.483,86,93,82,88,91,88,98,116,-31.1,-35.5,,russeda01
360,Dalen Terry,23,2TM,SG,42,0,492,.429,.459,.390,.515,.556,.525,.203,.444,91,84,109,95,71,91,77,107,-7.5,-15.9,,terryda01
360,Dalen Terry,23,CHI,SG,34,0,377,.441,.464,.413,.534,.529,.539,.167,.451,94,85,115,98,68,93,63,109,-1.8,-8.9,,terryda01
360,Dalen Terry,23,PHI,SG,8,0,115,.387,.444,.308,.452,.600,.480,.323,.419,83,81,86,83,77,83,122,101,-5.7,-7.0,,terryda01
361,Daeqwon Plowden,27,SAC,SG,20,2,486,.392,.574,.287,.483,.923,.524,.176,.635,84,105,80,89,118,90,66,153,-17.8,-17.8,,plowdda01
362,Keaton Wallace,26,ATL,PG,46,2,476,.408,.433,.391,.524,.643,.532,.095,.592,87,79,109,96,82,92,36,143,-5.7,-14.5,,wallake01
363,Grant Williams,27,CHO,PF,24,3,471,.412,.514,.375,.550,.850,.599,.305,.733,88,94,105,101,109,103,115,176,1.7,5.8,,willigr01
364,Jahmai Mashack,23,MEM,SG,24,3,449,.381,.447,.280,.437,.529,.446,.135,.397,81,82,78,80,68,77,51,96,-26.9,-35.7,,mashaja01
365,Trayce Jackson-Davis,25,2TM,C,44,1,449,.566,.563,1.000,.571,.547,.581,.566,.009,121,103,279,105,70,100,214,2,6.2,0.4,,jackstr02
365,Trayce Jackson-Davis,25,GSW,C,36,1,411,.588,.584,1.000,.593,.558,.601,.510,.010,125,107,279,109,71,104,192,2,10.2,5.3,,jackstr02
365,Trayce Jackson-Davis,25,TOR,C,8,0,38,.364,.364,,.364,.500,.430,1.091,.000,78,66,,67,64,74,412,0,-4.0,-4.9,,jackstr02
366,Kam Jones,23,IND,SG,28,7,446,.424,.515,.308,.492,.500,.494,.068,.441,90,94,86,90,64,85,26,106,-12.2,-20.8,,joneska03
367,Asa Newell,20,ATL,PF,40,1,445,.537,.663,.391,.628,.560,.628,.168,.463,114,121,109,116,71,108,63,112,25.1,15.6,,newelas01
368,Tyrese Proctor,21,CLE,PG,42,1,436,.395,.486,.336,.497,.862,.530,.164,.605,84,89,94,92,110,91,62,146,-16.3,-18.9,,proctty01
369,Amir Coffey,28,2TM,SG,42,2,432,.484,.615,.317,.554,.786,.593,.301,.441,103,112,89,102,100,102,114,106,1.9,2.9,,coffeam01
369,Amir Coffey,28,MIL,SG,30,2,265,.473,.633,.280,.536,.867,.584,.273,.455,101,116,78,99,111,101,103,109,-0.8,0.6,,coffeam01
369,Amir Coffey,28,PHO,SG,12,0,167,.500,.591,.375,.579,.692,.606,.342,.421,107,108,105,107,88,105,129,101,2.7,2.3,,coffeam01
370,Ariel Hukporti,23,NYK,C,48,4,430,.550,.571,.250,.558,.750,.608,.467,.067,117,104,70,103,96,105,176,16,1.8,4.2,,hukpoar01
371,Rasheer Fleming,21,PHO,PF,42,0,425,.402,.472,.354,.508,.579,.517,.144,.598,86,86,99,93,74,89,54,144,-9.4,-17.7,,flemira01
372,Moussa Cisse,23,DAL,C,34,1,425,.590,.590,,.590,.439,.567,.795,.000,126,108,,109,56,98,300,0,7.8,-2.9,,cissemo01
373,Yanic Konan Niederhäuser,22,LAC,C,41,0,424,.640,.663,.200,.645,.758,.691,.620,.050,136,121,56,119,97,119,234,12,20.3,28.5,,konanya01
374,Jamison Battle,24,TOR,SF,49,2,418,.505,.636,.415,.628,.667,.633,.083,.596,108,116,116,116,85,109,31,144,18.6,12.1,,battlja01
375,Cam Christie,20,LAC,SG,45,0,417,.377,.453,.255,.426,.739,.485,.377,.385,80,83,71,78,94,84,142,93,-28.6,-26.9,,chrisca02
376,Ethan Thompson,26,IND,SG,24,6,417,.367,.467,.307,.463,.706,.482,.142,.625,78,85,86,85,90,83,53,151,-19.4,-24.7,,thompet01
377,Tony Bradley,28,IND,C,38,3,416,.557,.558,.500,.561,.744,.604,.406,.019,119,102,140,103,95,104,153,5,3.8,6.2,,bradlto01
378,Jeremy Sochan,22,2TM,PF,38,0,411,.477,.603,.237,.518,.667,.534,.162,.342,102,110,66,95,85,92,61,82,-5.6,-10.8,,sochaje01
378,Jeremy Sochan,22,SAS,PF,28,0,358,.475,.594,.257,.520,.688,.538,.162,.354,101,108,72,96,88,93,61,85,-4.6,-8.9,,sochaje01
378,Jeremy Sochan,22,NYK,PF,10,0,53,.500,.667,.000,.500,.500,.505,.167,.250,107,122,0,92,64,87,63,60,-1.0,-1.9,,sochaje01
379,Scoot Henderson,21,POR,PG,17,3,394,.415,.489,.340,.500,.817,.553,.319,.500,88,89,95,92,104,95,120,120,-16.3,-11.5,,hendesc01
380,Bogdan Bogdanović,33,LAC,SG,18,3,389,.367,.440,.321,.465,.826,.500,.180,.609,78,80,90,86,105,86,68,147,-20.1,-22.1,,bogdabo01
381,Devin Carter,23,SAC,PG,27,2,386,.396,.520,.194,.433,.804,.491,.311,.378,85,95,54,80,103,85,117,91,-36.2,-33.1,,cartede02
382,Trae Young,27,2TM,PG,15,15,384,.458,.557,.338,.534,.825,.612,.548,.452,98,102,94,98,105,106,207,109,-3.3,14.4,,youngtr01
382,Trae Young,27,ATL,PG,10,10,280,.415,.500,.305,.481,.863,.577,.541,.437,88,91,85,89,110,100,204,105,-16.7,-0.7,,youngtr01
382,Trae Young,27,WAS,PG,5,5,104,.595,.762,.429,.702,.708,.723,.571,.500,127,139,120,129,90,125,216,120,13.4,15.1,,youngtr01
383,Maxi Kleber,34,LAL,PF,35,1,383,.467,.579,.273,.517,.636,.545,.367,.367,100,106,76,95,81,94,138,88,-3.2,-4.8,,klebima01
384,Sharife Cooper,24,WAS,PG,26,0,381,.485,.543,.350,.538,.789,.578,.288,.303,103,99,98,99,101,100,109,73,-1.4,-0.4,,coopesh01
385,Pete Nance,25,MIL,PF,34,0,379,.557,.707,.462,.698,.000,.692,.019,.613,119,129,129,129,0,119,7,148,32.8,24.1,,nancepe01
