,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
98,Marcus Smart,31,LAL,SG,57,50,1632,.404,18.3,.386,.114,.161,.083,.029,.614,.503,.667,.375,.514,.538,.342,.517,.915,.002,0,.295,.420,0,0,,smartma01
99,Rui Hachimura,27,LAL,PF,56,35,1630,.503,16.7,.539,.155,.105,.153,.127,.461,.563,.688,.423,.526,.571,.432,.775,.980,.054,25,.428,.408,0,0,,hachiru01
100,Andrew Nembhard,26,IND,PG,52,52,1621,.440,16.5,.613,.138,.168,.159,.148,.387,.489,.677,.444,.486,.369,.363,.340,.663,.006,3,.078,.286,0,0,,nembhan01
101,Deandre Ayton,27,LAL,C,59,59,1619,.667,5.2,1.000,.418,.414,.139,.028,.000,.667,.824,.591,.443,.571,,.812,,.217,102,,,0,0,,aytonde01
102,Neemias Queta,26,BOS,C,64,63,1609,.638,3.8,.986,.552,.381,.046,.007,.014,.647,.757,.547,.263,.000,.000,.763,,.271,103,.167,.000,0,0,,quetane01
103,Davion Mitchell,27,MIA,PG,57,57,1609,.482,14.0,.594,.198,.284,.067,.045,.406,.526,.566,.546,.357,.474,.418,.336,.845,.000,0,.112,.211,0,0,,mitchda01
104,Sam Hauser,28,BOS,PF,65,37,1604,.408,23.7,.150,.037,.029,.053,.031,.850,.532,.842,.400,.556,.250,.386,.732,.976,.002,1,.156,.426,0,0,,hausesa01
105,LaMelo Ball,24,CHO,PG,58,55,1600,.400,18.4,.429,.122,.188,.096,.023,.571,.447,.587,.376,.411,.435,.365,.247,.631,.006,5,.122,.449,0,0,,ballla01
106,Luguentz Dort,26,OKC,SF,57,57,1594,.376,20.5,.294,.113,.060,.077,.044,.706,.481,.647,.259,.486,.350,.332,.734,1.000,.029,12,.204,.338,0,0,,dortlu01
107,Keldon Johnson,26,SAS,SF,68,0,1581,.529,10.7,.662,.349,.299,.010,.005,.338,.606,.667,.548,.167,.667,.377,.579,.900,.046,26,.509,.352,0,0,,johnske04
108,Jalen Duren,22,DET,C,57,57,1581,.639,3.7,1.000,.505,.439,.032,.023,.000,.639,.742,.563,.143,.533,,.642,,.257,158,,,0,0,AS,durenja01
109,Jerami Grant,31,POR,PF,53,34,1578,.452,14.6,.527,.236,.202,.063,.027,.473,.506,.688,.409,.209,.333,.393,.470,.992,.043,26,.380,.434,0,0,,grantje01
110,Ace Bailey,19,UTA,SF,59,48,1577,.445,16.0,.570,.158,.168,.098,.145,.430,.519,.692,.550,.385,.385,.349,.713,.929,.111,63,.296,.286,0,0,,baileac01
111,Sion James,23,CHO,SG,68,19,1570,.371,17.0,.381,.221,.130,.023,.007,.619,.386,.515,.231,.143,.000,.362,.568,.940,.040,10,.384,.366,1,1,,jamessi01
112,LeBron James,41,LAL,SF,47,47,1563,.506,12.2,.718,.278,.235,.126,.080,.282,.583,.791,.494,.430,.356,.311,.510,.662,.103,71,.182,.263,0,0,AS,jamesle01
113,Victor Wembanyama,22,SAS,C,53,44,1558,.506,13.2,.666,.308,.147,.126,.084,.334,.579,.769,.406,.409,.438,.361,.636,.886,.166,130,.069,.450,0,0,AS,wembavi01
114,Ayo Dosunmu,26,2TM,SG,59,10,1554,.519,12.3,.611,.383,.181,.034,.013,.389,.567,.639,.409,.571,.625,.443,.521,.933,.021,10,.300,.451,1,1,,dosunay01
115,Ayo Dosunmu,26,CHI,SG,45,10,1187,.514,12.0,.603,.407,.173,.016,.006,.397,.556,.636,.393,.375,.333,.451,.497,.920,.027,10,.316,.459,1,1,,dosunay01
116,Ayo Dosunmu,26,MIN,SG,14,0,367,.537,12.6,.642,.285,.211,.106,.041,.358,.608,.657,.462,.692,.800,.409,.604,1.000,.000,0,.227,.400,0,0,,dosunay01
117,Moussa Diabaté,24,CHO,C,60,34,1547,.620,3.2,.994,.620,.331,.032,.010,.006,.621,.733,.471,.100,.333,.500,.647,1.000,.302,83,.500,1.000,0,0,,diabamo01
118,John Collins,28,LAC,PF,56,46,1544,.557,11.5,.664,.283,.278,.073,.030,.336,.627,.808,.507,.513,.313,.419,.730,1.000,.143,68,.659,.466,0,0,,collijo01
119,Bobby Portis,30,MIL,PF,64,9,1543,.494,16.3,.600,.116,.185,.140,.158,.400,.514,.683,.511,.475,.429,.463,.628,.985,.011,7,.385,.505,0,0,,portibo01
