,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
273,Marvin Bagley III,26,WAS,PF,38,8,731,.626,4.8,.923,.573,.337,.008,.004,.077,.643,.759,.446,.500,1.000,.421,.610,1.000,.236,58,.211,.500,0,0,,baglema01
274,Marvin Bagley III,26,DAL,PF,13,2,289,.563,5.8,.875,.510,.333,.031,.000,.125,.583,.612,.531,.667,,.417,.633,1.000,.208,17,.000,,0,0,,baglema01
275,Simone Fontecchio,30,MIA,SF,60,5,1012,.396,18.9,.301,.153,.124,.012,.012,.699,.476,.603,.373,.000,.400,.361,.661,.971,.017,6,.281,.407,1,0,,fontesi01
276,Adem Bona,22,PHI,C,58,10,1010,.582,2.6,.972,.768,.192,.011,.000,.028,.587,.669,.294,.000,,.400,.594,1.000,.356,54,.800,.250,0,0,,bonaad01
277,Jordan Miller,26,LAC,SF,47,0,1003,.530,10.8,.725,.268,.344,.106,.007,.275,.603,.741,.529,.469,1.000,.337,.432,1.000,.033,8,.349,.276,0,0,,millejo02
278,Caleb Love,24,POR,SG,45,1,999,.390,18.5,.402,.122,.169,.052,.060,.598,.492,.712,.366,.400,.483,.321,.417,.828,.014,3,.128,.216,0,0,,loveca01
279,Coby White,25,2TM,SG,37,26,999,.432,15.8,.484,.258,.132,.052,.042,.516,.528,.626,.460,.400,.300,.341,.311,.810,.002,0,.110,.407,0,0,,whiteco01
280,Coby White,25,CHI,SG,29,26,843,.438,16.4,.471,.272,.104,.051,.043,.529,.541,.645,.390,.500,.294,.346,.310,.819,.003,0,.106,.500,0,0,,whiteco01
281,Coby White,25,CHO,SG,8,0,156,.405,15.3,.548,.190,.262,.060,.036,.452,.478,.500,.591,.000,.333,.316,.318,.750,.000,0,.132,.000,0,0,,whiteco01
282,Jordan Walsh,21,BOS,PF,58,20,998,.525,12.8,.557,.357,.172,.027,.000,.443,.618,.759,.395,.167,,.408,.579,1.000,.154,28,.347,.412,0,0,,walshjo01
283,Drake Powell,20,BRK,SG,51,13,995,.414,16.3,.479,.192,.115,.138,.034,.521,.552,.680,.433,.472,.556,.287,.420,.872,.034,9,.301,.341,0,0,,poweldr01
284,Mouhamed Gueye,23,ATL,PF,65,5,994,.452,12.6,.576,.344,.156,.060,.016,.424,.576,.744,.410,.133,.250,.283,.723,1.000,.188,42,.698,.257,0,0,,gueyemo02
285,Nolan Traoré,19,BRK,PG,45,22,988,.385,13.0,.623,.201,.320,.088,.014,.377,.418,.465,.407,.387,.200,.331,.380,.886,.000,0,.248,.424,0,0,,traorno01
286,Andre Drummond,32,PHI,C,50,24,987,.479,7.9,.745,.543,.187,.015,.000,.255,.533,.572,.420,.500,,.324,.500,1.000,.120,24,.765,.327,0,0,,drumman01
287,Daniss Jenkins,24,DET,PG,57,8,986,.402,14.1,.648,.154,.290,.123,.081,.352,.427,.627,.387,.319,.355,.356,.255,.875,.034,10,.215,.379,1,1,,jenkida01
288,Jaxson Hayes,25,LAL,C,56,8,986,.746,2.7,.990,.703,.278,.010,.000,.010,.744,.803,.603,.500,,1.000,.805,1.000,.507,97,.000,,0,0,,hayesja02
289,Miles McBride,25,NYK,SG,35,14,981,.434,20.4,.329,.066,.086,.097,.080,.671,.462,.708,.355,.400,.448,.420,.418,.833,.006,1,.272,.394,0,0,,mcbrimi01
290,Darius Garland,26,2TM,PG,33,31,981,.453,16.5,.547,.156,.216,.113,.062,.453,.508,.605,.467,.509,.400,.386,.348,.576,.000,0,.118,.385,0,0,,garlada01
291,Darius Garland,26,CLE,PG,26,26,792,.451,15.9,.565,.162,.207,.135,.061,.435,.521,.607,.500,.490,.435,.360,.378,.610,.000,0,.128,.333,0,0,,garlada01
292,Darius Garland,26,LAC,PG,7,5,189,.459,17.1,.486,.138,.248,.037,.064,.514,.453,.600,.370,.750,.286,.464,.208,.500,.000,0,.089,.600,0,0,,garlada01
293,Jarred Vanderbilt,26,LAL,PF,55,3,978,.461,11.2,.583,.422,.155,.000,.005,.417,.575,.690,.281,,.000,.302,.667,.962,.175,32,.919,.304,0,0,,vandeja01
294,Derrick Jones Jr.,28,LAC,SF,36,31,976,.507,12.9,.573,.292,.240,.031,.010,.427,.612,.774,.464,.333,.333,.366,.743,1.000,.111,31,.455,.357,0,0,,jonesde02
295,Mitchell Robinson,27,NYK,C,50,15,974,.706,1.0,1.000,.920,.074,.006,.000,.000,.706,.713,.583,1.000,,,.539,,.515,76,,,0,0,,robinmi01
296,Hugo González,19,BOS,SF,63,3,970,.473,13.8,.532,.261,.225,.032,.014,.468,.593,.759,.460,.286,.333,.337,.657,1.000,.054,10,.452,.362,0,0,,gonzahu01
297,Gradey Dick,22,TOR,SG,63,1,949,.419,15.8,.492,.232,.119,.080,.061,.508,.540,.697,.410,.346,.450,.301,.828,1.000,.061,18,.373,.387,0,0,,dickgr01
298,Isaiah Hartenstein,27,OKC,C,37,36,935,.629,4.9,.976,.512,.319,.145,.000,.024,.645,.764,.532,.472,,.000,.795,,.298,65,.333,.000,0,0,,harteis01
299,Al Horford,39,GSW,C,43,12,933,.424,18.3,.367,.100,.219,.035,.013,.633,.535,.677,.456,.545,.750,.360,.705,.986,.013,4,.213,.381,0,0,,horfoal01
300,GG Jackson II,21,MEM,PF,45,18,926,.497,12.2,.617,.320,.237,.057,.003,.383,.599,.699,.516,.364,1.000,.333,.606,.939,.125,43,.361,.434,0,0,,jacksgg01
301,Jericho Sims,27,MIL,C,52,10,923,.835,2.1,1.000,.870,.087,.043,.000,.000,.835,.880,.600,.400,,,.844,,.600,63,,,0,0,,simsje01
302,Corey Kispert,26,2TM,SF,47,9,920,.467,17.1,.406,.227,.145,.033,.000,.594,.619,.747,.417,.636,,.362,.735,.972,.027,7,.204,.375,0,0,,kispeco01
303,Corey Kispert,26,WAS,SF,19,2,370,.496,18.0,.361,.193,.151,.017,.000,.639,.674,.783,.500,1.000,,.395,.759,.967,.025,3,.211,.375,0,0,,kispeco01
304,Corey Kispert,26,ATL,SF,28,7,550,.450,16.2,.431,.246,.142,.043,.000,.569,.593,.731,.367,.556,,.342,.722,.976,.028,4,.200,.375,0,0,,kispeco01
305,Jared McCain,21,2TM,SG,53,1,917,.415,17.6,.461,.154,.152,.106,.049,.539,.429,.526,.304,.538,.278,.402,.397,.863,.000,0,.221,.318,0,0,,mccaija01
306,Jared McCain,21,PHI,SG,37,1,620,.385,16.7,.485,.182,.156,.091,.056,.515,.393,.548,.278,.381,.231,.378,.341,.844,.000,0,.252,.367,0,0,,mccaija01
307,Jared McCain,21,OKC,SG,16,0,297,.464,18.4,.420,.109,.145,.130,.036,.580,.500,.467,.350,.722,.400,.438,.483,.886,.000,0,.175,.214,0,0,,mccaija01
308,Tyus Jones,29,3TM,PG,60,10,915,.345,19.4,.370,.055,.185,.095,.035,.630,.459,.455,.432,.526,.429,.278,.588,.800,.000,0,.206,.346,0,0,,jonesty01
309,Tyus Jones,29,ORL,PG,48,8,754,.342,19.2,.354,.057,.190,.089,.019,.646,.429,.444,.400,.500,.333,.294,.542,.833,.000,0,.225,.348,0,0,,jonesty01
310,Tyus Jones,29,DAL,PG,8,2,133,.382,18.9,.441,.059,.147,.118,.118,.559,.600,.500,.600,.750,.500,.211,.667,.750,.000,0,.158,.333,0,0,,jonesty01
311,Tyus Jones,29,DEN,PG,4,0,28,.250,20.1,.375,.000,.250,.125,.000,.625,.333,,.500,.000,,.200,1.000,.000,.000,0,.000,,0,0,,jonesty01
312,Caris LeVert,31,DET,SG,47,0,912,.409,15.7,.521,.172,.221,.099,.030,.479,.487,.673,.448,.367,.111,.324,.481,.809,.033,10,.207,.367,0,0,,leverca01
313,Luka Garza,27,BOS,C,58,4,906,.568,12.2,.628,.353,.207,.053,.015,.372,.647,.691,.618,.500,.500,.434,.593,.977,.019,5,.152,.267,0,0,,garzalu01
314,Pat Spencer,29,GSW,PG,52,12,905,.420,14.5,.621,.137,.283,.172,.029,.379,.451,.674,.404,.370,.333,.370,.330,.773,.006,2,.185,.318,0,0,,spencpa01
315,Franz Wagner,24,ORL,SF,28,26,891,.479,11.2,.731,.252,.355,.082,.042,.269,.521,.694,.441,.400,.389,.365,.479,.762,.030,11,.157,.444,0,0,,wagnefr01
316,Gary Payton II,33,GSW,SG,61,1,886,.545,10.3,.658,.437,.209,.012,.000,.342,.668,.775,.471,.250,,.306,.804,.941,.105,32,.468,.365,0,0,,paytoga02
317,Ryan Nembhard,22,DAL,PG,48,20,881,.415,17.2,.629,.065,.163,.204,.197,.371,.438,.737,.396,.367,.448,.376,.272,.756,.000,0,.128,.286,0,0,,nembhry01
318,Bryce McGowens,23,NOP,SG,42,13,880,.481,12.6,.608,.266,.257,.072,.013,.392,.528,.635,.426,.471,.667,.409,.605,.921,.097,17,.441,.415,0,0,,mcgowbr01
319,Taylor Hendricks,22,2TM,PF,49,10,879,.472,14.2,.498,.238,.223,.030,.007,.502,.582,.703,.467,.500,.500,.363,.718,.980,.093,22,.504,.412,0,0,,hendrta01
320,Taylor Hendricks,22,UTA,PF,33,6,492,.453,14.9,.453,.211,.211,.031,.000,.547,.586,.704,.444,.750,,.343,.853,1.000,.094,12,.586,.390,0,0,,hendrta01
321,Taylor Hendricks,22,MEM,PF,16,4,387,.489,13.6,.539,.262,.234,.028,.014,.461,.579,.703,.485,.250,.500,.385,.614,.960,.092,10,.415,.444,0,0,,hendrta01
322,Bones Hyland,25,MIN,PG,59,3,871,.458,18.3,.370,.193,.087,.054,.036,.630,.577,.719,.345,.556,.417,.388,.296,.802,.000,0,.115,.375,0,0,,hylanbo01
323,Rayan Rupert,21,2TM,SG,58,3,866,.389,14.5,.530,.184,.261,.068,.017,.470,.435,.581,.344,.438,.250,.336,.500,.973,.034,6,.455,.300,0,0,,ruperra01
324,Rayan Rupert,21,POR,SG,48,0,577,.361,14.7,.517,.204,.224,.075,.014,.483,.408,.567,.273,.455,.000,.310,.452,.955,.027,3,.408,.241,0,0,,ruperra01
325,Rayan Rupert,21,MEM,SG,10,3,289,.437,14.3,.552,.149,.322,.057,.023,.448,.479,.615,.429,.400,.500,.385,.565,1.000,.046,3,.538,.381,0,0,,ruperra01
326,Caleb Martin,30,DAL,SF,58,12,856,.450,12.2,.698,.312,.180,.085,.122,.302,.492,.729,.353,.188,.304,.351,.554,1.000,.058,9,.649,.378,0,0,,martica02
327,De'Anthony Melton,27,GSW,PG,37,13,843,.425,14.5,.551,.165,.308,.043,.036,.449,.528,.725,.442,.500,.400,.298,.426,.875,.012,5,.239,.378,0,0,,meltode01
328,Cam Thomas,24,2TM,SG,40,8,842,.409,15.4,.631,.128,.196,.193,.115,.369,.466,.632,.368,.488,.412,.311,.336,.569,.004,2,.134,.318,1,0,,thomaca02
329,Cam Thomas,24,BRK,SG,24,8,582,.399,16.0,.620,.097,.221,.185,.117,.380,.445,.567,.353,.526,.389,.325,.365,.605,.003,1,.094,.364,1,0,,thomaca02
330,Cam Thomas,24,MIL,SG,16,0,260,.431,14.9,.657,.197,.139,.212,.109,.343,.511,.704,.421,.414,.467,.277,.283,.462,.007,1,.234,.273,0,0,,thomaca02
331,Ochai Agbaji,25,2TM,SG,54,13,841,.450,13.7,.572,.384,.157,.022,.009,.428,.588,.693,.306,.800,.500,.265,.805,.923,.109,20,.449,.227,0,0,,agbajoc01
332,Ochai Agbaji,25,TOR,SG,42,13,650,.424,11.1,.618,.441,.159,.012,.006,.382,.571,.667,.296,1.000,.000,.185,.783,1.000,.141,19,.523,.206,0,0,,agbajoc01
333,Ochai Agbaji,25,BRK,SG,12,0,191,.525,16.3,.441,.220,.153,.051,.017,.559,.654,.846,.333,.667,1.000,.424,.882,.857,.017,1,.303,.300,0,0,,agbajoc01
334,T.J. McConnell,33,IND,PG,49,2,840,.525,11.7,.893,.142,.276,.323,.152,.107,.552,.719,.505,.531,.525,.302,.293,.923,.000,0,.116,.600,0,0,,mccontj01
335,Alex Caruso,31,OKC,SG,45,0,838,.426,16.1,.411,.233,.147,.023,.008,.589,.604,.700,.474,.500,.500,.303,.672,.978,.027,6,.414,.222,0,0,,carusal01
336,Nae'Qwan Tomlin,25,CLE,PF,53,2,837,.468,10.3,.636,.498,.126,.011,.000,.364,.620,.694,.382,.000,,.204,.679,.950,.219,49,.633,.194,0,0,,tomlina01
337,Mike Conley,38,MIN,PG,46,9,831,.316,20.7,.243,.068,.107,.045,.023,.757,.326,.500,.211,.375,.250,.313,.786,.952,.000,0,.284,.368,0,0,,conlemi01
338,Jordan Poole,26,NOP,PG,34,6,826,.371,19.1,.353,.148,.138,.038,.028,.647,.442,.534,.407,.333,.273,.332,.410,.714,.003,1,.099,.480,0,0,,poolejo01
339,Jakob Poeltl,30,TOR,C,32,30,824,.697,3.8,1.000,.592,.279,.129,.000,.000,.697,.807,.554,.500,,,.779,,.065,13,,,0,0,,poeltja01
340,Paul George,35,PHI,PF,27,27,824,.424,17.8,.511,.127,.102,.153,.130,.489,.464,.600,.389,.352,.522,.382,.369,.803,.011,3,.225,.462,0,0,,georgpa01
341,Vince Williams Jr.,25,2TM,SG,40,12,820,.353,18.4,.394,.110,.164,.099,.021,.606,.417,.469,.375,.483,.167,.311,.375,.873,.014,3,.186,.364,0,0,,willivi01
342,Vince Williams Jr.,25,MEM,PG,34,12,736,.352,18.1,.398,.114,.163,.098,.023,.602,.419,.467,.395,.462,.167,.308,.341,.918,.011,2,.170,.370,0,0,,willivi01
343,Vince Williams Jr.,25,UTA,SG,6,0,84,.357,18.6,.357,.071,.179,.107,.000,.643,.400,.500,.200,.667,,.333,.750,.500,.036,1,.333,.333,0,0,,willivi01
344,Isaiah Jackson,24,2TM,C,49,14,800,.607,3.2,.995,.597,.354,.029,.015,.005,.610,.699,.521,.167,.000,.000,.608,,.150,26,.000,,0,0,,jacksis01
345,Isaiah Jackson,24,IND,C,38,14,638,.582,3.3,.994,.606,.345,.024,.018,.006,.585,.670,.491,.250,.000,.000,.615,,.152,21,.000,,0,0,,jacksis01
346,Isaiah Jackson,24,LAC,C,11,0,162,.707,3.1,1.000,.561,.390,.049,.000,.000,.707,.826,.625,.000,,,.586,,.146,5,,,0,0,,jacksis01
347,Robert Williams,28,POR,C,47,1,795,.727,4.7,.899,.626,.232,.035,.005,.101,.770,.839,.630,.429,1.000,.350,.679,1.000,.545,93,.850,.353,0,0,,williro04
348,Keegan Murray,25,SAC,PF,23,22,793,.420,15.9,.627,.083,.240,.223,.080,.373,.505,.720,.583,.403,.333,.277,.537,.935,.037,11,.161,.222,0,0,,murrake02
349,Nikola Jović,22,MIA,PF,45,1,791,.370,15.7,.469,.197,.226,.026,.020,.531,.483,.633,.420,.250,.000,.272,.681,.932,.010,2,.253,.146,0,0,,jovicni01
350,Karlo Matković,24,NOP,PF,55,2,780,.631,10.6,.626,.456,.159,.010,.000,.374,.721,.865,.355,.000,,.479,.716,.971,.323,57,.479,.600,0,0,,matkoka01
351,Clint Capela,31,HOU,C,61,2,774,.513,2.8,1.000,.639,.346,.010,.005,.000,.513,.607,.364,.000,.000,,.643,,.251,40,,,0,0,,capelca01
352,Buddy Hield,33,2TM,SG,45,3,773,.432,22.3,.349,.163,.113,.037,.037,.651,.600,.735,.588,.545,.091,.342,.587,.925,.003,1,.219,.395,0,0,,hieldbu01
353,Buddy Hield,33,GSW,SG,44,3,768,.433,18.8,.350,.163,.113,.037,.037,.650,.600,.735,.588,.545,.091,.344,.587,.925,.003,1,.221,.395,0,0,,hieldbu01
354,Buddy Hield,33,ATL,SG,1,0,5,.000,25.8,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,hieldbu01
355,Tyrese Martin,26,2TM,SG,44,6,771,.391,17.9,.402,.167,.174,.043,.018,.598,.495,.717,.313,.500,.200,.321,.491,.887,.022,6,.200,.242,0,0,,martity01
356,Tyrese Martin,26,BRK,SG,37,6,696,.392,17.7,.404,.161,.184,.043,.016,.596,.476,.707,.298,.455,.250,.336,.469,.882,.024,6,.197,.233,0,0,,martity01
357,Tyrese Martin,26,PHI,SG,7,0,75,.381,18.1,.381,.238,.048,.048,.048,.619,.750,.800,1.000,1.000,.000,.154,.667,1.000,.000,0,.231,.333,0,0,,martity01
358,Justin Edwards,22,PHI,SF,51,8,769,.449,17.5,.427,.171,.150,.081,.026,.573,.570,.750,.429,.421,.667,.358,.474,.917,.043,9,.194,.462,0,0,,edwarju01
359,Guerschon Yabusele,30,2TM,C,57,12,765,.406,17.4,.372,.188,.132,.038,.013,.628,.471,.636,.290,.222,.667,.367,.683,.981,.026,3,.367,.407,0,0,,yabusgu01
360,Guerschon Yabusele,30,NYK,C,41,0,366,.393,17.0,.364,.243,.084,.028,.009,.636,.564,.654,.333,.333,1.000,.294,.727,.950,.028,1,.412,.393,0,0,,yabusgu01
361,Guerschon Yabusele,30,CHI,C,16,12,399,.417,17.7,.378,.142,.173,.047,.016,.622,.396,.611,.273,.167,.500,.430,.632,1.000,.024,2,.329,.423,0,0,,yabusgu01
362,Trendon Watford,25,PHI,PF,45,7,756,.513,8.8,.811,.307,.421,.070,.013,.189,.578,.657,.563,.375,.333,.233,.523,1.000,.018,3,.186,.125,0,0,,watfotr01
363,Jalen Williams,24,OKC,SG,26,26,755,.479,10.4,.825,.268,.266,.230,.060,.175,.515,.704,.443,.429,.318,.313,.323,.750,.066,22,.156,.300,0,0,,willija06
364,Olivier-Maxence Prosper,23,MEM,PF,43,14,749,.532,12.5,.584,.340,.200,.032,.012,.416,.630,.776,.520,.000,.000,.394,.772,1.000,.096,23,.394,.439,0,0,,prospol01
365,Aaron Gordon,30,DEN,PF,27,24,749,.495,14.0,.604,.275,.150,.093,.086,.396,.561,.767,.383,.379,.407,.395,.594,.816,.102,30,.169,.429,0,0,,gordoaa01
366,Jonas Valančiūnas,33,DEN,C,56,5,748,.581,7.2,.941,.323,.401,.177,.040,.059,.597,.663,.612,.526,.231,.316,.580,.833,.068,17,.053,1.000,0,0,,valanjo01
367,John Konchar,29,2TM,SG,43,5,747,.444,15.9,.419,.256,.128,.026,.009,.581,.714,.733,.800,.333,.000,.250,.657,1.000,.026,3,.441,.267,0,0,,konchjo01
368,John Konchar,29,MEM,SG,30,1,435,.521,14.9,.451,.324,.085,.028,.014,.549,.750,.783,.833,.500,.000,.333,.750,1.000,.014,1,.564,.273,0,0,,konchjo01
369,John Konchar,29,UTA,SG,13,4,312,.326,16.9,.370,.152,.196,.022,.000,.630,.647,.571,.778,.000,,.138,.455,1.000,.043,2,.276,.250,0,0,,konchjo01
370,Jaylen Clark,24,MIN,SG,59,0,739,.435,12.7,.576,.293,.212,.071,.000,.424,.528,.648,.487,.154,,.308,.518,1.000,.038,7,.641,.320,1,0,,clarkja02
371,Goga Bitadze,26,ORL,C,49,2,736,.688,3.8,.935,.718,.176,.035,.006,.065,.723,.779,.600,.333,.000,.182,.696,1.000,.329,51,.364,.250,0,0,,bitadgo01
372,Kasparas Jakučionis,19,MIA,PG,41,11,733,.422,17.8,.342,.171,.144,.021,.005,.658,.406,.563,.296,.000,.000,.431,.423,.981,.000,0,.358,.568,0,0,,jakucka01
373,Josh Green,25,CHO,SG,44,0,732,.477,19.2,.252,.146,.086,.020,.000,.748,.605,.682,.538,.333,,.434,.739,1.000,.040,6,.602,.471,0,0,,greenjo02
374,Steven Adams,32,HOU,C,32,11,730,.504,2.6,1.000,.655,.309,.036,.000,.000,.504,.582,.349,.400,,,.514,,.129,13,,,0,0,,adamsst01
375,Jalen Pickett,26,DEN,SG,43,18,728,.422,18.4,.446,.108,.147,.093,.098,.554,.473,.682,.433,.421,.350,.381,.535,.814,.005,1,.221,.320,0,0,,pickeja02
376,Lonzo Ball,28,CLE,PG,35,3,728,.301,22.5,.165,.097,.023,.023,.023,.835,.448,.588,.250,.500,.000,.272,.538,.850,.011,1,.197,.241,0,0,,balllo01
377,Dwight Powell,34,DAL,C,52,8,711,.663,3.1,.963,.725,.225,.000,.013,.038,.675,.690,.611,,1.000,.333,.808,1.000,.150,10,1.000,.333,0,0,,poweldw01
378,Kenrich Williams,31,OKC,PF,45,2,710,.489,15.1,.545,.255,.147,.065,.078,.455,.556,.695,.353,.600,.444,.410,.529,.907,.013,2,.238,.440,0,0,,willike04
379,Micah Peavy,24,NOP,SG,52,1,706,.376,12.6,.602,.314,.199,.075,.013,.398,.471,.620,.311,.235,.667,.233,.641,1.000,.084,16,.467,.190,0,0,,peavymi01
380,Jabari Walker,23,PHI,PF,56,6,701,.449,12.7,.546,.393,.122,.015,.015,.454,.542,.649,.292,.000,.333,.337,.500,1.000,.071,10,.506,.400,0,0,,walkeja01
381,Gabe Vincent,29,2TM,PG,40,7,699,.351,22.4,.193,.041,.058,.064,.029,.807,.364,.714,.200,.273,.400,.348,.333,.875,.000,0,.254,.400,0,0,,vincega01
382,Gabe Vincent,29,LAL,PG,29,7,559,.346,22.5,.208,.023,.077,.077,.031,.792,.259,.667,.200,.200,.250,.369,.429,.895,.000,0,.272,.429,0,0,,vincega01
383,Gabe Vincent,29,ATL,PG,11,0,140,.366,22.3,.146,.098,.000,.024,.024,.854,.833,.750,,1.000,1.000,.286,.200,.800,.000,0,.200,.286,0,0,,vincega01
384,Julian Strawther,23,DEN,SG,44,12,672,.464,15.3,.519,.159,.251,.105,.004,.481,.573,.658,.533,.560,.000,.348,.648,.950,.004,1,.322,.459,0,0,,strawju01
385,Jaden Ivey,23,2TM,SG,37,5,670,.445,17.6,.477,.145,.191,.090,.051,.523,.525,.541,.510,.478,.615,.373,.578,.880,.020,5,.164,.409,0,0,,iveyja01
386,Jaden Ivey,23,DET,SG,33,2,555,.450,16.9,.486,.141,.205,.095,.045,.514,.533,.581,.489,.476,.700,.372,.579,.881,.023,5,.177,.400,0,0,,iveyja01
387,Jaden Ivey,23,CHI,SG,4,3,115,.417,18.3,.417,.167,.111,.056,.083,.583,.467,.333,.750,.500,.333,.381,.571,.875,.000,0,.095,.500,0,0,,iveyja01
388,Noah Penda,21,ORL,SF,48,2,666,.425,13.2,.569,.260,.265,.022,.022,.431,.485,.660,.313,.250,.750,.346,.440,.926,.072,13,.410,.313,0,0,,pendano01
389,Tyler Kolek,24,NYK,PG,55,1,662,.424,15.4,.546,.183,.214,.131,.017,.454,.480,.667,.367,.400,.500,.356,.350,.757,.000,0,.144,.467,0,0,,kolekty01
390,Kobe Brown,26,2TM,PF,49,3,656,.429,14.4,.500,.291,.181,.022,.005,.500,.527,.660,.394,.000,.000,.330,.500,.900,.077,14,.330,.367,0,0,,brownko01
391,Kobe Brown,26,LAC,PF,34,0,295,.393,16.4,.417,.214,.179,.012,.012,.583,.571,.667,.533,.000,.000,.265,.500,.923,.119,10,.327,.250,0,0,,brownko01
392,Kobe Brown,26,IND,PF,15,3,361,.459,12.5,.571,.357,.184,.031,.000,.429,.500,.657,.278,.000,,.405,.500,.882,.041,4,.333,.500,0,0,,brownko01
393,Jamir Watkins,24,WAS,SG,35,4,654,.461,15.2,.472,.258,.185,.017,.011,.528,.655,.870,.364,.667,.500,.287,.600,1.000,.140,24,.447,.357,0,0,,watkija01
394,Rob Dillingham,21,2TM,PG,51,0,653,.356,12.7,.715,.219,.300,.089,.107,.285,.373,.542,.259,.417,.310,.312,.333,.792,.015,3,.182,.429,0,0,,dilliro01
395,Rob Dillingham,21,MIN,PG,35,0,326,.333,12.2,.766,.227,.270,.128,.142,.234,.324,.500,.184,.500,.150,.364,.400,.750,.014,2,.212,.571,0,0,,dilliro01
396,Rob Dillingham,21,CHI,PG,16,0,327,.380,13.1,.659,.209,.333,.047,.070,.341,.435,.593,.326,.167,.667,.273,.270,.833,.016,1,.159,.286,0,0,,dilliro01
397,Micah Potter,27,IND,C,35,3,652,.498,16.4,.410,.224,.161,.005,.020,.590,.631,.739,.515,1.000,.250,.405,.736,1.000,.098,16,.446,.389,0,0,,pottemi01
398,Jaden Hardy,23,2TM,SG,46,4,652,.416,17.5,.409,.114,.162,.101,.032,.591,.476,.543,.500,.452,.200,.374,.417,.794,.016,2,.324,.390,0,0,,hardyja02
399,Jaden Hardy,23,DAL,SG,34,4,428,.402,18.6,.361,.082,.155,.098,.026,.639,.457,.500,.500,.474,.000,.371,.500,.783,.015,1,.315,.308,0,0,,hardyja02
400,Jaden Hardy,23,WAS,SG,12,0,224,.439,16.5,.491,.167,.175,.105,.044,.509,.500,.579,.500,.417,.400,.379,.321,.818,.018,1,.345,.550,0,0,,hardyja02
401,Josh Minott,23,2TM,PF,41,10,648,.492,17.3,.408,.218,.156,.022,.011,.592,.603,.821,.393,.250,.000,.415,.659,.955,.128,19,.302,.375,0,0,,minotjo01
402,Josh Minott,23,BOS,PF,33,10,526,.507,16.1,.434,.228,.169,.029,.007,.566,.593,.806,.391,.250,.000,.442,.686,.941,.147,16,.312,.375,0,0,,minotjo01
403,Josh Minott,23,BRK,SF,8,0,122,.442,18.5,.326,.186,.116,.000,.023,.674,.643,.875,.400,,.000,.345,.556,1.000,.070,3,.276,.375,0,0,,minotjo01
404,Paul Reed,26,DET,C,50,8,646,.597,7.2,.871,.391,.373,.073,.034,.129,.631,.791,.529,.471,.250,.367,.719,.909,.133,30,.267,.375,0,0,,reedpa01
405,Dylan Cardwell,24,SAC,C,31,1,644,.596,4.3,.991,.447,.491,.053,.009,.009,.602,.804,.446,.333,.000,.000,.779,,.368,36,1.000,.000,0,0,,cardwdy01
406,Johnny Furphy,21,IND,SG,35,21,643,.470,13.6,.523,.302,.208,.000,.013,.477,.603,.711,.484,,.000,.324,.766,.957,.128,19,.408,.345,0,0,,furphjo01
407,Tyler Herro,26,MIA,SG,21,16,643,.491,15.5,.601,.101,.263,.192,.044,.399,.557,.676,.562,.523,.400,.393,.540,.755,.003,1,.119,.375,0,0,,herroty01
408,Ousmane Dieng,22,2TM,C,42,7,630,.418,18.5,.448,.090,.119,.149,.090,.552,.467,.556,.250,.533,.556,.378,.452,.786,.040,8,.171,.421,0,0,,diengou01
409,Ousmane Dieng,22,OKC,C,27,0,295,.418,18.0,.462,.110,.143,.121,.088,.538,.476,.600,.308,.545,.500,.367,.500,.667,.044,4,.184,.333,0,0,,diengou01
410,Ousmane Dieng,22,MIL,C,15,7,335,.418,19.1,.436,.073,.100,.173,.091,.564,.458,.500,.182,.526,.600,.387,.409,.875,.036,4,.161,.500,0,0,,diengou01
411,Anthony Davis,32,DAL,PF,20,20,626,.506,9.2,.889,.332,.278,.156,.123,.111,.535,.730,.462,.365,.390,.270,.560,.900,.141,42,.135,.400,0,0,,davisan02
412,Tre Mann,24,CHO,PG,43,1,624,.358,17.7,.480,.125,.176,.129,.050,.520,.396,.600,.327,.306,.357,.324,.283,.660,.011,2,.193,.357,0,0,,manntr01
413,Quenton Jackson,27,IND,PG,36,10,624,.459,13.6,.599,.279,.225,.050,.045,.401,.519,.758,.360,.182,.200,.371,.565,.970,.072,15,.202,.222,0,0,,jacksqu01
414,Nick Richards,28,2TM,C,44,3,619,.514,5.5,.926,.463,.371,.069,.023,.074,.537,.716,.338,.500,.250,.231,.724,1.000,.246,39,.692,.333,0,0,,richani01
415,Nick Richards,28,PHO,C,28,2,254,.493,5.2,1.000,.380,.437,.141,.042,.000,.493,.704,.323,.500,.333,,.743,,.225,15,,,0,0,,richani01
