Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
136,Jaylon Tyson,23,CLE,SG,63,39,27.0,4.9,9.9,.494,2.0,4.5,.454,2.9,5.4,.528,.597,1.2,1.6,.758,1.8,3.3,5.0,2.2,0.8,0.4,1.5,2.6,13.0,,tysonja01
137,Tre Jones,26,CHI,PG,51,27,27.0,4.8,8.8,.548,0.6,1.9,.309,4.2,6.9,.614,.581,2.7,3.2,.834,0.6,2.3,2.9,5.5,1.2,0.2,1.3,1.4,12.9,,jonestr01
138,Miles McBride,25,NYK,SG,35,14,28.0,4.5,10.3,.434,2.9,6.9,.420,1.6,3.4,.462,.575,1.0,1.2,.814,0.6,2.0,2.6,2.8,0.9,0.2,0.8,1.8,12.9,,mcbrimi01
139,Keldon Johnson,26,SAS,SF,69,0,23.2,4.9,9.3,.531,1.2,3.1,.380,3.7,6.1,.608,.595,1.7,2.2,.784,1.6,3.9,5.5,1.3,0.6,0.1,0.9,2.0,12.8,,johnske04
140,Sam Merrill,29,CLE,SG,43,31,25.9,4.3,9.1,.471,3.2,7.2,.443,1.1,1.9,.573,.646,1.0,1.2,.846,0.6,1.8,2.4,2.3,0.6,0.1,0.8,2.5,12.8,,merrisa01
141,Jaylen Wells,22,MEM,SG,65,65,26.6,4.5,10.3,.433,1.9,5.4,.356,2.6,5.0,.516,.525,2.0,2.6,.789,0.9,2.4,3.3,1.7,0.9,0.1,1.1,2.2,12.8,,wellsja01
142,Brandon Williams,26,DAL,PG,60,15,22.0,4.4,9.4,.472,0.6,2.4,.245,3.8,7.0,.549,.503,3.4,4.3,.788,0.5,2.5,2.9,3.8,0.9,0.3,1.9,1.5,12.8,,willibr03
143,Toumani Camara,25,POR,PF,69,69,33.4,4.6,10.7,.425,2.5,7.1,.348,2.1,3.6,.576,.541,1.1,1.7,.675,1.6,3.7,5.3,2.6,1.1,0.4,1.9,3.0,12.7,,camarto01
144,Max Christie,22,DAL,SG,64,55,29.5,4.4,9.7,.452,2.4,5.8,.410,2.0,3.8,.516,.576,1.5,1.7,.882,0.2,3.1,3.4,2.1,0.6,0.3,1.3,1.3,12.7,,chrisma02
145,Jonathan Kuminga,23,2TM,PF,25,14,23.8,4.4,9.4,.470,0.9,2.5,.355,3.6,7.0,.511,.517,2.8,3.9,.732,1.6,4.7,6.3,2.5,0.5,0.3,2.3,1.6,12.6,,kuminjo01
145,Jonathan Kuminga,23,GSW,PF,20,13,23.8,4.4,9.7,.454,0.9,2.7,.321,3.6,7.1,.504,.497,2.5,3.3,.742,1.5,4.4,5.9,2.5,0.4,0.3,2.3,1.7,12.1,,kuminjo01
145,Jonathan Kuminga,23,ATL,PF,5,1,23.6,4.6,8.4,.548,1.0,1.8,.556,3.6,6.6,.545,.607,4.4,6.2,.710,2.2,5.8,8.0,2.6,1.0,0.2,2.4,1.4,14.6,,kuminjo01
146,Noah Clowney,21,BRK,PF,61,55,27.7,3.9,9.8,.398,2.0,6.1,.335,1.8,3.7,.502,.503,2.8,3.5,.807,0.9,3.3,4.2,1.7,0.8,0.7,1.6,2.6,12.6,,clownno01
147,Malik Monk,27,SAC,SG,53,0,22.0,4.5,10.4,.437,2.0,5.1,.396,2.5,5.3,.477,.535,1.5,1.7,.878,0.3,1.7,1.9,2.7,0.6,0.4,1.4,1.6,12.6,,monkma01
148,Deandre Ayton,27,LAL,C,59,59,27.4,5.7,8.5,.667,0.0,0.0,,5.7,8.5,.667,.667,1.1,1.8,.620,2.6,5.8,8.4,0.9,0.6,0.9,1.2,2.3,12.5,,aytonde01
149,Ace Bailey,19,UTA,SF,59,48,26.7,5.0,11.2,.445,1.7,4.8,.349,3.3,6.4,.519,.520,0.8,1.1,.742,1.6,2.4,4.0,1.7,0.9,0.5,1.3,2.6,12.4,,baileac01
150,Tre Johnson,19,WAS,SG,55,37,24.1,4.5,10.7,.421,2.0,5.3,.367,2.5,5.4,.475,.513,1.4,1.6,.874,0.5,2.3,2.8,2.0,0.6,0.3,1.5,2.0,12.4,,johnstr03
151,Donte DiVincenzo,29,MIN,SG,69,69,30.9,4.2,10.1,.414,3.0,7.7,.385,1.2,2.4,.509,.561,1.0,1.3,.761,0.9,3.5,4.4,4.1,1.4,0.4,1.4,2.4,12.3,,divindo01
152,Myles Turner,29,MIL,C,63,63,27.5,4.1,9.3,.441,2.1,5.5,.386,2.0,3.8,.521,.556,1.9,2.5,.752,1.1,4.3,5.4,1.5,0.7,1.5,1.2,2.5,12.2,,turnemy01
153,Josh Hart,30,NYK,SF,56,42,30.0,4.6,9.2,.506,1.5,3.8,.395,3.2,5.4,.582,.587,1.4,1.9,.710,1.5,6.1,7.6,5.1,1.1,0.3,1.9,2.5,12.1,,hartjo01
154,Nic Claxton,26,BRK,C,61,60,28.5,4.9,8.6,.574,0.0,0.3,.176,4.9,8.3,.587,.576,2.1,3.5,.606,2.5,4.6,7.1,3.9,0.7,1.2,1.4,2.3,12.0,,claxtni01
155,Donovan Clingan,21,POR,C,64,64,27.3,4.5,8.7,.523,1.0,3.1,.328,3.5,5.6,.630,.581,1.9,2.8,.672,4.6,7.0,11.6,2.2,0.5,1.6,1.2,2.3,12.0,,clingdo01
156,Moses Moody,23,GSW,SG,59,48,25.5,4.0,9.1,.441,2.5,6.2,.402,1.5,2.9,.526,.578,1.4,1.8,.771,0.8,2.5,3.3,1.6,0.9,0.5,0.9,2.0,11.9,,moodymo01
157,Duncan Robinson,31,DET,SF,66,66,27.6,4.0,9.0,.442,2.8,7.0,.400,1.2,2.0,.585,.597,1.1,1.4,.766,0.4,2.3,2.7,2.0,0.6,0.3,0.7,2.2,11.8,,robindu01
158,Klay Thompson,35,DAL,SF,59,8,21.9,4.2,10.6,.392,2.9,7.7,.380,1.3,3.0,.423,.529,0.5,0.7,.750,0.3,2.0,2.3,1.4,0.5,0.3,0.9,1.0,11.8,,thompkl01
159,Wendell Carter Jr.,26,ORL,C,65,65,29.6,4.2,8.3,.506,1.0,3.1,.322,3.2,5.2,.617,.567,2.3,2.9,.789,2.1,5.4,7.5,2.1,0.8,0.6,1.2,3.4,11.7,,cartewe01
160,Isaiah Collier,21,UTA,PG,58,18,25.7,4.3,8.7,.496,0.5,1.7,.276,3.9,7.0,.549,.523,2.5,3.5,.718,0.4,2.2,2.5,7.2,1.1,0.3,2.5,2.3,11.6,,colliis01
161,Cameron Johnson,29,DEN,SF,43,43,30.4,4.0,8.5,.463,1.9,4.4,.419,2.1,4.1,.511,.572,1.9,2.2,.842,0.7,3.0,3.7,2.3,0.6,0.4,0.9,2.3,11.6,,johnsca02
162,Mark Williams,24,PHO,C,56,52,23.6,4.7,7.4,.633,0.0,0.0,1.000,4.6,7.3,.633,.635,2.2,2.9,.767,3.1,5.0,8.1,1.0,0.9,0.9,1.1,2.2,11.6,,willima07
163,Dyson Daniels,22,ATL,SG,64,64,33.3,5.2,10.2,.509,0.2,1.5,.129,5.0,8.7,.573,.518,1.0,1.6,.606,2.3,4.4,6.7,6.1,1.9,0.4,1.8,2.2,11.5,,daniedy01
164,Derik Queen,21,NOP,C,68,45,24.9,4.4,9.0,.481,0.3,1.0,.279,4.1,8.0,.506,.497,2.5,3.2,.790,1.6,5.3,7.0,3.8,0.9,0.9,2.3,2.7,11.5,,queende01
165,Dennis Schröder,32,2TM,PG,58,16,25.2,3.9,9.6,.405,1.2,3.6,.337,2.7,6.0,.445,.468,2.5,3.0,.828,0.4,2.3,2.8,5.0,0.8,0.2,1.9,1.6,11.4,,schrode01
165,Dennis Schröder,32,SAC,PG,40,14,26.4,4.3,10.6,.408,1.4,4.2,.343,2.9,6.4,.449,.475,2.7,3.3,.820,0.6,2.5,3.1,5.3,0.8,0.2,2.0,1.7,12.8,,schrode01
165,Dennis Schröder,32,CLE,PG,18,2,22.7,2.9,7.4,.396,0.7,2.3,.310,2.2,5.1,.435,.444,1.9,2.3,.854,0.2,1.9,2.1,4.4,0.9,0.2,1.6,1.4,8.6,,schrode01
166,Rui Hachimura,27,LAL,PF,56,35,29.1,4.5,8.9,.503,1.8,4.1,.432,2.7,4.8,.563,.603,0.7,1.0,.759,0.6,2.7,3.3,0.9,0.6,0.3,0.7,1.6,11.4,,hachiru01
167,Scotty Pippen Jr.,25,MEM,PG,10,6,21.2,4.3,9.6,.448,1.0,3.2,.313,3.3,6.4,.516,.500,1.8,2.3,.783,0.8,1.4,2.2,4.7,1.9,0.4,2.7,3.1,11.4,,pippesc02
168,Maxime Raynaud,22,SAC,C,62,44,25.4,4.9,8.6,.566,0.2,0.8,.250,4.7,7.8,.600,.578,1.5,1.8,.789,2.0,5.4,7.3,1.3,0.5,0.5,1.2,2.4,11.4,,raynama01
169,Cam Spencer,25,MEM,SG,64,17,23.8,3.8,7.9,.479,2.0,4.6,.444,1.7,3.3,.529,.609,1.8,2.0,.936,0.5,2.1,2.6,5.5,0.7,0.2,1.3,1.5,11.4,,spencca01
170,Dylan Harper,19,SAS,SG,56,0,22.1,4.6,9.3,.490,0.8,2.5,.303,3.8,6.8,.561,.532,1.4,1.9,.733,0.6,2.7,3.3,3.8,0.8,0.3,1.4,1.9,11.3,,harpedy01
171,Caleb Love,24,POR,SG,45,1,22.2,4.2,10.8,.390,2.1,6.4,.321,2.1,4.3,.492,.486,0.8,1.1,.735,0.6,2.0,2.5,2.7,0.6,0.1,1.4,1.0,11.3,,loveca01
172,Jarace Walker,22,IND,PF,68,33,25.5,3.9,9.5,.411,1.7,4.6,.361,2.3,4.9,.458,.498,1.9,2.5,.754,0.7,4.5,5.1,2.4,0.8,0.3,1.8,1.7,11.3,,walkeja02
173,Kel'el Ware,21,MIA,C,64,32,22.8,4.6,8.7,.527,1.1,3.0,.374,3.5,5.7,.607,.591,1.0,1.4,.759,3.1,6.3,9.4,0.6,0.9,1.1,0.9,1.6,11.3,,wareke01
174,Christian Braun,24,DEN,SG,33,33,31.8,4.2,8.4,.500,0.9,3.1,.297,3.3,5.3,.617,.554,1.9,2.5,.762,1.5,3.4,4.9,2.9,0.7,0.3,1.1,2.3,11.2,,braunch01
175,Julian Champagnie,24,SAS,SF,69,55,27.8,3.6,8.3,.437,2.4,6.3,.387,1.2,2.0,.589,.583,1.5,1.8,.835,0.9,4.9,5.8,1.5,0.8,0.4,0.9,1.6,11.2,,champju02
176,GG Jackson II,21,MEM,PF,45,18,20.6,4.2,8.5,.497,1.1,3.3,.333,3.2,5.3,.599,.561,1.7,2.4,.708,0.9,3.4,4.2,1.4,0.6,0.8,1.5,1.5,11.2,,jacksgg01
177,Khris Middleton,34,2TM,SF,51,44,24.2,3.9,9.1,.429,1.1,3.1,.350,2.8,6.1,.469,.488,2.0,2.4,.867,0.9,3.0,3.9,3.0,0.7,0.2,1.7,2.4,11.0,,middlkh01
177,Khris Middleton,34,WAS,SF,34,34,24.3,3.8,8.8,.433,1.0,2.9,.333,2.9,5.9,.483,.488,1.7,2.0,.841,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,10.3,,middlkh01
177,Khris Middleton,34,DAL,SF,17,10,23.8,4.1,9.8,.422,1.3,3.4,.379,2.8,6.4,.444,.488,2.7,3.0,.902,0.9,2.8,3.7,2.6,0.6,0.0,1.9,2.1,12.2,,middlkh01
