Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
499,Patrick Baldwin Jr.,23,PHI,SF,1,0,2,6.3,,,,0.0,56.1,27.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.084,-5.1,-3.0,-8.1,0.0,,baldwpa01
499,Patrick Baldwin Jr.,23,SAC,SF,4,0,44,7.1,.327,.500,.333,14.8,13.0,13.9,5.7,2.2,6.2,12.7,15.2,-0.1,0.0,0.0,-0.043,-6.9,-1.5,-8.4,-0.1,,baldwpa01
500,Caleb Houstan,23,ATL,SF,13,0,57,9.6,.705,.800,.200,7.5,3.8,5.7,4.5,0.8,1.6,19.7,14.9,0.1,0.0,0.1,.072,-2.3,-2.2,-4.5,0.0,,houstca01
501,Johni Broome,23,PHI,C,11,0,55,0.4,.188,.208,.250,13.8,18.3,16.0,9.3,2.6,3.4,10.1,22.8,-0.3,0.1,-0.2,-0.213,-11.8,-4.4,-16.2,-0.2,,broomjo01
502,Cody Martin,30,IND,SF,4,0,55,3.0,.277,.500,.600,1.9,26.5,13.8,4.6,3.5,3.1,24.0,12.8,-0.2,0.1,-0.1,-0.101,-10.0,2.1,-7.9,-0.1,,martico01
503,Wendell Moore Jr.,24,DET,SG,5,0,54,10.0,.635,.143,.286,2.1,10.2,6.2,6.8,1.8,3.7,11.3,6.8,0.1,0.1,0.1,.116,-2.5,1.8,-0.7,0.0,,moorewe01
504,Nikola Topić,20,OKC,PG,5,0,53,1.9,.500,.313,.000,4.2,11.8,8.2,25.1,0.0,0.0,40.7,22.1,-0.2,0.1,-0.1,-0.136,-8.2,-3.1,-11.3,-0.1,,topicni01
505,TyTy Washington Jr.,24,LAC,PG,9,0,52,18.0,.679,.500,.000,2.3,2.2,2.2,31.2,3.8,3.6,17.6,14.5,0.1,0.1,0.2,.169,2.9,2.9,5.7,0.1,,washity02
506,Seth Curry,35,GSW,SG,4,0,51,21.9,.737,.412,.176,6.3,6.6,6.5,20.9,1.9,0.0,0.0,15.2,0.2,0.0,0.3,.265,4.9,1.4,6.4,0.1,,curryse01
507,Lawson Lovering,22,MEM,C,2,1,49,13.7,.574,.000,.500,13.1,20.0,16.6,8.2,2.9,1.9,14.1,12.0,0.1,0.1,0.1,.115,-3.6,-0.1,-3.7,0.0,,loverla01
508,Keshon Gilbert,22,WAS,PG,3,0,48,4.5,.521,.500,1.000,4.4,6.7,5.5,7.4,2.0,7.4,51.0,10.2,-0.1,0.0,-0.1,-0.086,-6.3,-0.4,-6.7,-0.1,,gilbeke01
509,Jahmir Young,25,MIA,PG,10,0,47,5.9,.416,.350,.050,4.3,4.4,4.4,16.9,1.0,0.0,8.9,19.3,-0.1,0.0,0.0,-0.018,-6.8,-1.7,-8.6,-0.1,,youngja05
510,John Poulakidas,22,DAL,SG,3,0,47,6.0,.500,.769,.000,2.3,19.8,11.2,5.6,2.0,0.0,13.3,13.4,0.0,0.1,0.0,.017,-7.5,-0.2,-7.7,-0.1,,poulajo01
511,DeJon Jarreau,28,MEM,SG,2,0,47,7.4,.468,.300,.400,6.9,20.9,13.8,24.5,1.0,0.0,29.8,14.8,0.0,0.0,0.0,-0.007,-6.1,-1.4,-7.5,-0.1,,jarrede01
512,Mac McClung,27,2TM,SG,4,0,47,8.5,.430,.480,.160,0.0,11.8,5.7,6.3,5.1,3.7,10.1,26.7,-0.2,0.1,-0.1,-0.085,-8.3,2.9,-5.3,0.0,,mccluma01
512,Mac McClung,27,IND,SG,3,0,34,12.9,.481,.556,.222,0.0,13.2,6.4,4.7,7.0,2.5,9.2,27.1,-0.1,0.1,0.0,-0.011,-5.6,6.1,0.5,0.0,,mccluma01
512,Mac McClung,27,CHI,SG,1,0,13,-3.2,.286,.286,.000,0.0,8.1,4.1,10.6,0.0,6.7,12.5,25.9,-0.1,0.0,-0.1,-0.279,-15.2,-5.4,-20.6,-0.1,,mccluma01
513,Garrett Temple,39,TOR,SG,16,0,46,3.7,.329,.750,.750,2.4,9.9,6.1,10.2,3.2,2.1,22.0,12.7,-0.1,0.1,0.0,-0.042,-7.6,1.2,-6.4,-0.1,,templga01
514,Mo Bamba,27,2TM,C,4,0,44,13.1,.455,.000,.000,24.4,30.3,27.3,3.1,0.0,6.7,15.4,12.3,0.0,0.0,0.1,.058,-4.5,-3.8,-8.3,-0.1,,bambamo01
514,Mo Bamba,27,TOR,C,2,0,6,-2.8,.000,.000,.000,18.4,19.0,18.7,0.0,0.0,16.1,0.0,14.3,0.0,0.0,0.0,-0.161,-18.9,-2.7,-21.5,0.0,,bambamo01
514,Mo Bamba,27,UTA,C,2,0,38,15.6,.556,.000,.000,25.4,32.1,28.7,3.6,0.0,5.2,18.2,12.0,0.0,0.0,0.1,.093,-2.3,-4.0,-6.2,0.0,,bambamo01
515,Isaiah Stevens,25,SAC,PG,3,0,43,16.5,.571,.143,.571,5.0,2.7,3.9,29.4,5.6,0.0,18.6,10.6,0.1,0.0,0.1,.135,-1.3,3.3,2.0,0.0,,steveis01
